GPA,Number_Of_Professional_Connections,Earnings,Major,Graduation_Year,Number_Of_Credits,Number_Of_Parking_Tickets
2.05,2,9799.48,STEM,1963,122,1
1.81,9,9829.62,STEM,2003,121,0
1.97,6,9816.89,STEM,1964,122,1
2.55,5,9742.66,STEM,1990,124,0
1.65,5,9848.14,STEM,1972,121,1
2.11,2,9791.13,STEM,1984,122,0
3.32,16,9672.25,STEM,1982,121,0
1.52,37,9848,STEM,2012,128,2
2.29,7,9764.79,STEM,1976,121,1
2.41,7,9753.93,STEM,2012,123,2
1.84,28,9804.31,STEM,2010,121,0
3.15,20,9660.04,STEM,1998,121,1
2.45,11,9744.09,STEM,1965,121,1
3.32,11,9670.2,STEM,1971,120,1
2.6,22,9749.01,STEM,1996,121,4
2.5,16,9753.79,STEM,1974,126,0
2.48,25,9771.39,STEM,1976,122,1
2.57,1,9738.54,STEM,1984,128,0
2.55,62,9732.53,STEM,1961,120,0
3.2,0,9678.99,STEM,2000,121,0
2.64,4,9745.7,STEM,1967,125,0
2.15,33,9776.92,STEM,2011,120,0
2.72,86,9733.64,STEM,1979,122,0
3.52,18,9625.47,STEM,1995,121,0
2.84,20,9728.63,STEM,1981,120,0
1.98,25,9808.08,STEM,2008,123,4
2.23,20,9799.01,STEM,1973,121,0
2.54,11,9740.08,STEM,1992,121,1
1.9,11,9812.85,STEM,1981,122,2
1.51,2,9867.85,STEM,1999,121,1
2.78,42,9713.18,STEM,2014,120,3
2.41,31,9775.3,STEM,2007,123,1
2.85,38,9704.06,STEM,1969,121,0
2.55,10,9742.65,STEM,1970,122,3
2.63,14,9738.06,STEM,1982,122,0
2.11,1,9771.8,STEM,2014,121,1
2,24,9794.62,STEM,1974,126,0
2.46,8,9743.57,STEM,1964,133,1
1.96,32,9805.17,STEM,1968,121,1
2.41,29,9754.27,STEM,2007,120,1
2.09,7,9792.49,STEM,1986,120,1
2.94,16,9716.84,STEM,1988,122,0
2.31,10,9777.8,STEM,1972,125,1
2.61,17,9742.13,STEM,2001,121,3
1.97,15,9813.9,STEM,1977,121,0
2.49,33,9755.33,STEM,2009,130,0
2.85,2,9717.88,STEM,1985,121,1
2.15,0,9792.58,STEM,1987,121,0
2.8,3,9727,STEM,1977,120,1
3.35,57,9682.02,STEM,2007,121,1
1.73,9,9832.88,STEM,1995,121,0
3.29,1,9670.46,STEM,1973,122,0
2.03,3,9785.65,STEM,2008,120,0
2.45,6,9757.62,STEM,1968,128,0
2.51,35,9745.12,STEM,1992,120,0
1.99,31,9791.48,STEM,2005,123,2
2.01,29,9803.61,STEM,1991,120,0
1.47,49,9857.93,STEM,2014,121,0
2.49,36,9736.59,STEM,2005,121,1
2.23,14,9764.19,STEM,2005,120,0
3.14,13,9701.13,STEM,2014,120,0
1.77,10,9834.93,STEM,1962,121,4
2.83,32,9717.89,STEM,1973,121,0
3.2,41,9669.24,STEM,1961,120,2
2.75,13,9718.26,STEM,1989,122,2
3.52,2,9642.04,STEM,1967,121,0
2.19,19,9764.86,STEM,1998,120,0
2.65,66,9745.14,STEM,1994,123,1
2.69,52,9732.88,STEM,1985,127,2
2.92,30,9717.73,STEM,1966,121,1
3.94,5,9608.89,STEM,1993,121,1
2.89,2,9698.21,STEM,1968,120,2
2.71,6,9720.13,STEM,1995,120,0
2.64,20,9739.93,STEM,1998,123,2
1.83,27,9844.1,STEM,1984,122,0
2.42,5,9744.17,STEM,1974,124,1
2.91,78,9707.94,STEM,2002,122,0
2.41,24,9762.86,STEM,1993,129,2
2.01,1,9808.58,STEM,2003,122,0
3.2,25,9682.91,STEM,1969,120,0
2.52,1,9749.61,STEM,1988,120,1
1.96,34,9825.98,STEM,1978,122,2
2.38,18,9771.04,STEM,1996,121,1
2.75,12,9732.75,STEM,1994,120,1
2.57,10,9747.35,STEM,1989,122,0
1.91,21,9805.93,STEM,1968,121,0
3.05,2,9699.94,STEM,1967,121,0
2.37,11,9760.76,STEM,1966,120,0
2.79,2,9716.05,STEM,2015,120,1
1.87,42,9830.73,STEM,1998,124,0
2.62,65,9756.92,STEM,1999,122,0
2.45,4,9761.2,STEM,2000,121,2
3.42,7,9656.39,STEM,1984,120,1
2.63,1,9754.12,STEM,1985,120,1
2.55,21,9755.08,STEM,1999,120,0
1.98,14,9790.08,STEM,1994,120,0
2.45,24,9746.44,STEM,1969,122,0
1.83,152,9816.52,STEM,1992,121,0
2.3,15,9761.68,STEM,2015,123,0
2.79,13,9732.16,STEM,2012,120,1
2.01,6,9794.44,STEM,1996,121,1
2.67,5,9744.46,STEM,1983,123,1
2.79,58,9717.74,STEM,1970,121,0
2.38,24,9757.55,STEM,1975,122,1
2.32,2,9769.51,STEM,1996,120,3
2.75,30,9735.34,STEM,1969,120,1
3.56,39,9648.94,STEM,1987,121,1
2.3,17,9777.35,STEM,2013,125,1
2.48,28,9763.68,STEM,2006,121,0
1.93,8,9820.33,STEM,2015,125,0
2.39,27,9751.47,STEM,1968,121,0
2.73,30,9718.52,STEM,1990,123,0
3.09,6,9678.82,STEM,1972,122,1
2.82,83,9712.57,STEM,1972,121,1
2.81,5,9721.35,STEM,1968,121,0
2.21,2,9785.11,STEM,2011,121,0
2.34,16,9767.26,STEM,1968,124,2
3.04,19,9689.73,STEM,1991,120,0
2.8,19,9714.08,STEM,1996,123,0
2.27,1,9779.92,STEM,2013,122,0
1.77,2,9814.7,STEM,1999,121,1
2.67,5,9735.77,STEM,2012,122,1
2.19,0,9777.33,STEM,2008,122,1
2.56,35,9756.78,STEM,2009,122,2
2.03,21,9795.77,STEM,2014,121,0
2.57,0,9726.52,STEM,1993,121,1
2.59,2,9748.19,STEM,2013,126,1
2.29,35,9770.59,STEM,1996,121,1
2.45,93,9762.2,STEM,1963,121,2
2.07,4,9799.8,STEM,1976,121,0
2.69,14,9715.53,STEM,1964,125,3
2.53,7,9763.75,STEM,2009,120,3
2.55,16,9741.59,STEM,2008,122,1
2.84,73,9715.21,STEM,1990,123,0
1.91,13,9818.42,STEM,2015,121,0
2.45,22,9744.75,STEM,2007,121,1
3.08,9,9682.79,STEM,1968,120,2
1.89,1,9806.37,STEM,1974,122,0
2.24,6,9776.87,STEM,1989,120,1
2.31,8,9780.55,STEM,1999,127,0
3.32,3,9666.93,STEM,1968,121,2
2.9,5,9692.27,STEM,1973,121,2
2.73,2,9724.31,STEM,1989,123,2
2.36,2,9745.51,STEM,1979,123,0
3.56,11,9660.27,STEM,2001,121,0
2.11,7,9792.32,STEM,1983,125,3
2.85,46,9719.05,STEM,1995,123,2
2.3,83,9786.03,STEM,2008,126,1
1.98,2,9797.27,STEM,1994,126,0
3.24,28,9670.8,STEM,1995,124,0
2.45,68,9764.36,STEM,1990,124,0
2.81,43,9720.35,STEM,1962,123,2
2.28,8,9766.71,STEM,1963,123,0
1.39,35,9863.68,STEM,2001,120,0
2.11,4,9782.55,STEM,1991,121,2
1.92,16,9822.39,STEM,2012,122,2
2.65,2,9726.7,STEM,1968,122,2
2.92,6,9723.2,STEM,2001,122,3
3.12,14,9667.77,STEM,1970,123,0
2.94,2,9723.69,STEM,1978,122,1
2.68,31,9724.47,STEM,1983,121,1
2.81,40,9713.06,STEM,1978,120,1
2.55,30,9731.34,STEM,1993,123,0
3.21,36,9687.1,STEM,2008,120,0
1.24,10,9887.17,STEM,1978,120,2
2.85,2,9722.69,STEM,1995,122,0
2.5,7,9742.56,STEM,1982,126,0
1.61,21,9836.96,STEM,1970,125,1
3,31,9710.17,STEM,1963,121,1
2.75,7,9725.34,STEM,1974,123,1
2.53,5,9729.82,STEM,1974,122,0
2.5,13,9761.63,STEM,2005,124,3
1.71,117,9833.09,STEM,2007,121,2
2.9,27,9712.37,STEM,1982,123,0
2.2,16,9773.01,STEM,2014,123,0
3.08,8,9705.64,STEM,1986,123,1
2.79,11,9725.66,STEM,1966,124,0
2.42,12,9759.67,STEM,1978,122,2
2.87,5,9695.91,STEM,1961,122,2
2.77,10,9710.98,STEM,1974,121,1
2.74,40,9720.39,STEM,1973,122,4
2.71,63,9730.73,STEM,1965,122,0
1.65,40,9824.88,STEM,2004,120,1
2.33,0,9769.59,STEM,1967,122,1
2.94,10,9707.58,STEM,1965,122,1
1.93,0,9810.45,STEM,1970,120,0
2.79,34,9730.68,STEM,2012,120,1
2.09,3,9785.32,STEM,1976,120,0
1.55,24,9840.64,STEM,2013,121,1
2.29,13,9765.53,STEM,2006,120,0
2.63,2,9755.94,STEM,1962,122,2
2.6,13,9740.5,STEM,2004,122,1
3.62,6,9616.06,STEM,1961,122,1
2.39,11,9775.56,STEM,1974,122,2
3,0,9700.29,STEM,1986,125,1
2.57,17,9749.96,STEM,1992,121,0
3.39,11,9662.17,STEM,1989,122,1
3.26,37,9670.52,STEM,1973,129,0
2.45,37,9767.9,STEM,1961,120,2
2.33,42,9769.5,STEM,1973,122,1
3.34,8,9659.44,STEM,1992,121,3
2.09,12,9789.71,STEM,2012,121,1
2.51,13,9734.52,STEM,1967,120,0
2.51,58,9755.56,STEM,1997,121,1
2.28,28,9764.51,STEM,2003,121,0
2.1,11,9790.63,STEM,1995,123,0
2.78,6,9722.6,STEM,2003,122,3
3.05,22,9676.94,STEM,2002,120,0
2.99,3,9696.08,STEM,1991,123,0
2.36,0,9747.41,STEM,1967,123,0
3.01,8,9692.29,STEM,2001,120,0
2.53,44,9760.02,STEM,1984,121,1
3.17,7,9681.37,STEM,1997,121,3
2.13,6,9776.2,STEM,2008,123,1
2.25,47,9778.91,STEM,1973,124,1
2.6,23,9746.12,STEM,1966,121,1
1.96,0,9802.58,STEM,2013,123,2
2.59,60,9740.84,STEM,1970,121,1
2.88,26,9721.87,STEM,2013,121,0
2.42,9,9745.32,STEM,2012,121,0
2.15,5,9793,STEM,1983,126,0
2.71,18,9716.61,STEM,1964,120,3
2.03,5,9795.57,STEM,1978,120,1
2.89,0,9714.49,STEM,1965,123,0
3.26,5,9688.6,STEM,1985,122,1
3.54,1,9650.05,STEM,2012,122,1
2.11,32,9782.85,STEM,1994,121,1
2.6,50,9737.03,STEM,2015,122,1
3.14,13,9687.11,STEM,1997,123,0
2.1,13,9776.67,STEM,1963,123,1
2.14,10,9779.13,STEM,2012,124,2
2.27,21,9783.25,STEM,2002,122,1
2.3,18,9772.49,STEM,1973,121,0
2.74,31,9713.11,STEM,2001,120,1
3.06,7,9689.94,STEM,1992,124,0
2.03,1,9809.25,STEM,2015,121,0
2.64,26,9754.09,STEM,1971,122,0
2.58,6,9741.27,STEM,2005,121,1
1.7,2,9830.48,STEM,1994,122,1
2.8,106,9722.72,STEM,2010,121,2
2.64,6,9731.71,STEM,1986,124,0
2.65,29,9722.6,STEM,1974,123,0
2.4,30,9767.4,STEM,2007,120,0
2.99,6,9705.82,STEM,1993,122,1
2.26,0,9753.91,STEM,2011,122,1
2.35,26,9765.05,STEM,1977,122,4
2.98,34,9724.75,STEM,1978,123,1
2.42,5,9760.27,STEM,2006,121,1
2.94,30,9716.44,STEM,1982,126,1
3.34,13,9679.23,STEM,1985,120,1
2.52,0,9737.15,STEM,1973,128,1
2.77,32,9726.69,STEM,2004,121,2
3.49,20,9643.08,STEM,1985,121,1
2.69,5,9751.06,STEM,1975,121,2
2.09,21,9775.45,STEM,1987,122,3
2.09,1,9801.52,STEM,1996,121,2
2.91,58,9707.48,STEM,2012,124,0
2.34,41,9763.96,STEM,1991,122,1
3.35,2,9671.75,STEM,1994,121,1
2.75,10,9710.14,STEM,1990,121,0
2.43,73,9764.15,STEM,2011,121,7
2.2,74,9783.29,STEM,2008,121,1
2.12,20,9786.19,STEM,1997,121,1
2.69,1,9740.54,STEM,1985,122,1
2.14,52,9779.91,STEM,2011,121,4
3,17,9687.65,STEM,1997,125,2
3.05,15,9690.4,STEM,1970,120,0
2.16,19,9771.11,STEM,1986,122,0
2.96,2,9699.2,STEM,1973,120,1
2.06,11,9802.83,STEM,1968,121,0
2.58,6,9733.01,STEM,1990,122,1
2.2,5,9781.45,STEM,1979,120,0
3.15,23,9690.52,STEM,1985,123,0
2.95,0,9701.03,STEM,1965,124,2
1.87,0,9810.14,STEM,1981,123,1
2.33,5,9776.63,STEM,1998,121,1
2.37,0,9776.63,STEM,2007,120,1
1.93,22,9812.01,STEM,2002,121,0
2.2,64,9771.67,STEM,1984,123,0
2.53,21,9749.64,STEM,1987,122,3
1.52,5,9867.59,STEM,2000,126,2
3.07,7,9684.2,STEM,1964,123,1
1.59,11,9849.26,STEM,2000,121,0
3.58,9,9644.75,STEM,2004,122,1
2.3,10,9770.79,STEM,2011,120,6
3.19,45,9671.84,STEM,1975,124,6
2.75,41,9742.73,STEM,1992,120,1
2.74,1,9716.62,STEM,1995,125,0
2.87,14,9723.48,STEM,1992,123,0
2.19,20,9779.83,STEM,2011,120,2
2.73,36,9739.91,STEM,2006,122,2
2.51,8,9753.08,STEM,1999,121,4
2.58,6,9746.95,STEM,1974,121,1
2.83,116,9717.22,STEM,1977,123,0
2.65,24,9734.81,STEM,1967,122,0
2.06,12,9790.39,STEM,1978,120,2
2.29,2,9761.71,STEM,1987,125,1
2.32,1,9761.36,STEM,2001,122,0
3.23,23,9664.24,STEM,2004,122,0
2.5,4,9755.5,STEM,1971,123,0
2.81,23,9732.16,STEM,2008,121,0
2.61,1,9748.69,STEM,1999,121,1
3.59,6,9652.15,STEM,2008,120,2
2.63,35,9727.17,STEM,1994,121,2
2.64,54,9730.85,STEM,1973,121,0
1.59,1,9853.24,STEM,1988,122,1
2.44,9,9758.43,STEM,1973,122,0
4,16,9601.68,STEM,1983,121,0
2.6,20,9736.91,STEM,2011,124,3
2.57,22,9739.42,STEM,2005,121,0
2.84,6,9717.55,STEM,1973,121,4
2.34,16,9773.73,STEM,1976,120,2
2.52,14,9763.86,STEM,1975,121,1
2.91,4,9700.79,STEM,2012,120,1
3,20,9705.32,STEM,2009,121,1
2.36,2,9776.81,STEM,1989,121,0
2.45,2,9739.26,STEM,1988,123,0
3.07,5,9697.89,STEM,1970,124,2
2.25,16,9771.67,STEM,1992,120,0
1.73,6,9845.36,STEM,1989,122,0
2.52,39,9756.03,STEM,1991,120,4
2.37,61,9743.52,STEM,1967,121,0
2.57,9,9735.42,STEM,1970,121,1
2.3,20,9772.7,STEM,1964,121,1
1.17,38,9866.08,STEM,1993,120,2
3.11,10,9689.29,STEM,1971,121,1
2.52,6,9752.62,STEM,1976,121,0
3.55,12,9645.52,STEM,1998,120,0
2.72,21,9721.29,STEM,1994,120,2
2.7,65,9731.15,STEM,1976,123,4
2.06,0,9783.97,STEM,1970,121,0
2.19,41,9791.01,STEM,2003,121,1
2.03,12,9797.28,STEM,1988,120,1
2.09,22,9791.11,STEM,1971,121,1
2.21,13,9779.46,STEM,1977,121,3
3.11,1,9688.3,STEM,1997,121,2
2.84,22,9723.38,STEM,1971,121,0
3.13,24,9679.55,STEM,1979,120,0
2.07,24,9809.7,STEM,2003,120,2
3.19,56,9690.96,STEM,2002,121,2
3.06,14,9701.02,STEM,1964,120,3
2.48,16,9760.02,STEM,2012,121,0
2.51,15,9746.12,STEM,1967,121,0
2.14,50,9775.77,STEM,2009,123,0
2.17,1,9791.87,STEM,1986,120,1
2.59,12,9744.35,STEM,1995,123,0
2.11,12,9792.13,STEM,2007,124,2
1.91,5,9813.91,STEM,1980,128,2
1.7,3,9826.15,STEM,2010,124,1
2.03,18,9809.94,STEM,1962,122,2
2.61,35,9731.83,STEM,1966,122,0
2.29,9,9765.37,STEM,1962,126,1
1.55,2,9837.7,STEM,1982,124,0
2.2,10,9775.47,STEM,1998,125,0
2.75,6,9731.39,STEM,2010,120,3
2.46,1,9749.47,STEM,2013,123,0
2.44,1,9751.92,STEM,2009,120,1
2.34,3,9749.4,STEM,1977,120,1
2.89,35,9716.23,STEM,1961,123,3
2.83,20,9709.54,STEM,1991,124,1
2.39,35,9745.34,STEM,2012,124,2
3.26,36,9661.15,STEM,1984,120,1
3.23,4,9671.81,STEM,2009,123,2
2.36,11,9762.41,STEM,1988,121,0
2.89,3,9706.01,STEM,2011,128,0
2.72,0,9719.91,STEM,1978,121,1
1.82,0,9828.43,STEM,2001,120,2
2.85,10,9704.21,STEM,1982,126,3
2.6,15,9739.17,STEM,1984,121,0
2.96,12,9695.92,STEM,1963,121,0
2.66,62,9724.5,STEM,1987,123,1
2.3,12,9765.2,STEM,1968,123,1
2.42,6,9751.63,STEM,1990,120,0
2.68,30,9728.12,STEM,1984,124,2
2.37,2,9765.59,STEM,1980,123,0
1.99,2,9808.14,STEM,1969,120,1
2.17,104,9776.32,STEM,1967,125,0
2.23,41,9772.94,STEM,1990,120,0
2.22,29,9778.79,STEM,1983,121,1
1.79,20,9814.42,STEM,2000,123,1
2.23,3,9759.37,STEM,2001,121,0
2,9,9792.05,STEM,1966,122,1
1.79,6,9809.64,STEM,1986,122,1
3.02,11,9714.97,STEM,1998,121,2
2.33,55,9763.5,STEM,1972,121,0
2.67,73,9732.34,STEM,1976,120,4
2.62,47,9738.3,STEM,1973,120,0
2.52,22,9743.99,STEM,1987,123,1
1.97,4,9808.32,STEM,1969,123,2
2.64,3,9733.11,STEM,1997,121,3
3.63,2,9631.99,STEM,1990,121,2
2.87,60,9718.87,STEM,1977,121,0
2.53,9,9748.94,STEM,1980,121,1
2.46,0,9762.34,STEM,2003,122,3
2.04,57,9794.52,STEM,1973,122,3
2.02,13,9817.05,STEM,1982,121,1
2.18,0,9791.36,STEM,2007,121,2
2.27,7,9768.85,STEM,1990,121,0
3.13,12,9682.45,STEM,1997,121,0
2.47,5,9757.17,STEM,1969,121,0
1.97,1,9809.47,STEM,2006,121,0
2.55,0,9756.73,STEM,2009,122,1
3,9,9704.22,STEM,2015,122,1
2.68,0,9733.63,STEM,1977,120,1
2.74,37,9723.31,STEM,1974,120,0
3.34,6,9669.18,STEM,2014,122,0
2.66,13,9745.99,STEM,2008,121,1
2.76,21,9715.84,STEM,1994,121,0
3.06,15,9697.63,STEM,1997,122,1
1.79,5,9799.06,STEM,1993,120,3
3.36,27,9667.1,STEM,2000,128,1
2,11,9804.14,STEM,1962,121,1
2.43,100,9745.27,STEM,1981,121,0
1.38,5,9858.71,STEM,2002,124,1
1.69,15,9828.95,STEM,1997,123,1
1.84,8,9818.58,STEM,2008,126,0
2.96,10,9700.64,STEM,1994,121,1
2.49,15,9766.6,STEM,1982,123,0
2.59,18,9752.66,STEM,1978,129,0
2.28,64,9760.68,STEM,1987,120,1
2.68,96,9735.87,STEM,2013,124,0
2.44,12,9766.35,STEM,1967,121,3
2.49,4,9755.84,STEM,1974,125,3
1.22,16,9864.95,STEM,2015,121,0
3.19,13,9702.52,STEM,1977,124,1
2.94,20,9697.57,STEM,1989,121,2
2.06,42,9793.1,STEM,1989,121,0
1.97,1,9804.34,STEM,1969,120,1
2.7,93,9732.42,STEM,1987,121,1
1.57,4,9865.35,STEM,2000,124,0
2.98,8,9682.39,STEM,1995,121,1
1.74,14,9817.83,STEM,2010,120,0
1.93,12,9811.28,STEM,1973,122,1
2.2,23,9770.86,STEM,2003,121,1
2.08,131,9787.4,STEM,1978,120,0
2.13,4,9789.8,STEM,1976,122,0
2.77,13,9716.55,STEM,1964,120,2
2.77,29,9719.67,STEM,1985,124,0
3.07,43,9677.24,STEM,1961,125,3
2.15,17,9787.95,STEM,2000,120,2
3.41,23,9659.32,STEM,1981,122,0
2.81,10,9728.96,STEM,1980,121,0
3.21,37,9664.04,STEM,1984,126,0
2.57,9,9736.74,STEM,1980,121,0
2.62,31,9746.58,STEM,2010,120,0
3.15,19,9680.12,STEM,2007,120,0
1.87,26,9808.27,STEM,2008,126,1
2.62,17,9738.84,STEM,1991,120,3
2.59,16,9742.57,STEM,1967,123,0
2.11,4,9795.2,STEM,2013,122,0
2.61,1,9747.45,STEM,2000,123,0
2.18,71,9774.26,STEM,1974,123,1
3.24,12,9691.25,STEM,1979,122,0
2.19,45,9797.88,STEM,2004,123,0
2.33,15,9773.62,STEM,2004,121,0
2.27,102,9786.88,STEM,1979,122,0
2.33,46,9773.46,STEM,1986,125,0
2.72,16,9714.61,STEM,2007,121,3
2.37,23,9770.84,STEM,1989,121,1
2.92,48,9712.32,STEM,1965,122,1
2.42,8,9766.22,STEM,1981,122,0
3,1,9711.85,STEM,1966,120,0
2.73,2,9725.48,STEM,1989,125,0
2.39,1,9769.02,STEM,2014,123,0
2.21,3,9785.09,STEM,1973,122,0
2,13,9792.74,STEM,1997,121,2
3.05,32,9703.63,STEM,1986,122,0
3,12,9705.85,STEM,1970,120,1
1.47,1,9836.6,STEM,1977,122,1
2.97,1,9711.17,STEM,2007,120,0
2.48,16,9752.98,STEM,1995,123,0
2.84,6,9705.66,STEM,1991,121,0
2.21,18,9766.63,STEM,1962,123,2
2.32,1,9781.95,STEM,1984,122,0
2.12,16,9801.65,STEM,2005,120,0
2.57,37,9745.91,STEM,1983,121,1
2.95,34,9703.83,STEM,1998,121,0
2.47,14,9750.32,STEM,1983,128,0
2.77,3,9727.53,STEM,1983,121,1
2.51,8,9727.13,STEM,1982,123,0
2.75,1,9710.66,STEM,2001,121,1
1.87,54,9819.54,STEM,1975,131,0
2.53,44,9732.32,STEM,1968,121,0
2.52,26,9752.48,STEM,1990,124,2
2.83,97,9713.03,STEM,1973,125,1
3.13,39,9680.68,STEM,1969,123,0
2.26,17,9764.22,STEM,2005,120,1
2.01,2,9810.7,STEM,1964,126,1
2.15,6,9786.59,STEM,1998,125,2
1.95,13,9811.01,STEM,1993,132,0
2.12,26,9798.39,STEM,2006,122,0
2.94,2,9696.41,STEM,1969,123,0
2.21,49,9770.01,STEM,1992,120,0
2.64,18,9725.89,STEM,1962,122,0
2.45,6,9755.55,STEM,1961,120,0
2.67,5,9735.99,STEM,2010,121,0
2.6,19,9737.8,STEM,1978,122,1
2.42,13,9742.03,STEM,1962,124,1
1.9,1,9813.81,STEM,1988,120,0
2.55,38,9745.51,STEM,1979,121,2
2.64,69,9741.41,STEM,2002,120,1
2.09,26,9790.92,STEM,1990,121,0
2.98,6,9705.5,STEM,1995,121,0
2.5,2,9741.59,STEM,2006,126,2
2.3,8,9782.79,STEM,1997,120,1
2.14,8,9781.5,STEM,1998,121,4
2.17,101,9786.98,STEM,1981,122,1
1.93,61,9806.97,STEM,2001,124,1
2.37,5,9737.18,STEM,1995,121,1
3.22,2,9684.59,STEM,1967,123,0
2.31,51,9769.7,STEM,1988,124,2
2.04,39,9778.33,STEM,1981,120,2
2.37,49,9757.12,STEM,1979,122,1
2.36,6,9769.2,STEM,2011,122,1
2.1,13,9782.74,STEM,1969,120,1
2.59,5,9738.67,STEM,1973,120,0
2.06,6,9779.99,STEM,1967,127,1
2.01,10,9807.01,STEM,1974,120,0
2.56,36,9756.21,STEM,1993,124,0
2.46,84,9750.4,STEM,2005,123,1
2.46,34,9747.39,STEM,1991,127,2
2.6,4,9737.19,STEM,1992,121,0
2.94,12,9709.23,STEM,2003,120,1
2.69,3,9734.06,STEM,1991,120,2
2.15,16,9778.77,STEM,1994,123,0
1.91,8,9804.22,STEM,2001,120,2
2.71,20,9722.59,STEM,1979,120,1
2.06,11,9785.87,STEM,2005,121,1
2.52,36,9744.94,STEM,2000,122,1
3.27,34,9675.1,STEM,1989,121,0
2.49,9,9750.12,STEM,1995,121,0
2.5,17,9760.65,STEM,1970,121,1
2.16,5,9800.56,STEM,1961,120,0
3.28,17,9643.78,STEM,1977,120,2
2.71,15,9732.34,STEM,1984,121,0
1.91,19,9802.16,STEM,2001,122,1
2.47,23,9749.81,STEM,1968,120,2
2.95,3,9708.11,STEM,1983,120,1
1.87,12,9818.18,STEM,1992,125,1
2.17,35,9796.5,STEM,2008,122,1
2.12,17,9782.46,STEM,2006,120,3
2.45,3,9751.18,STEM,1992,120,2
3.04,10,9706.62,STEM,1963,121,0
2.32,1,9770.98,STEM,2008,122,2
2.46,15,9747.28,STEM,2007,120,0
3.24,5,9662.3,STEM,1983,121,1
2.71,11,9728.69,STEM,1993,121,1
3.01,53,9693.4,STEM,1976,121,0
2.89,19,9711,STEM,1997,129,0
3,5,9704.52,STEM,1989,120,1
1.63,60,9839.71,STEM,2010,121,0
2.99,55,9689.6,STEM,1991,120,2
2.04,5,9787.45,STEM,1988,120,3
2.42,13,9757.1,STEM,1998,120,2
2.6,6,9750.42,STEM,1972,120,0
1.75,18,9817.46,STEM,2004,121,1
2.08,24,9784.78,STEM,2009,121,1
2.84,0,9702.16,STEM,1967,128,2
3.24,11,9688.03,STEM,1985,122,2
2.49,54,9735.08,STEM,1962,122,0
2.3,25,9771.76,STEM,1980,122,2
2.31,10,9760.01,STEM,1967,120,1
1.91,6,9804.96,STEM,1969,120,1
2,13,9808.96,STEM,1977,121,0
2.47,15,9760.62,STEM,1968,120,3
2.42,58,9763.39,STEM,1990,120,0
3.21,62,9679.45,STEM,1990,120,1
1.94,63,9802.55,STEM,1981,122,0
2.34,25,9774.17,STEM,2010,124,1
3.09,61,9707.57,STEM,2009,122,1
2.18,16,9793.74,STEM,1963,121,0
2.86,54,9711.51,STEM,1961,122,1
2.54,24,9767.97,STEM,1969,124,0
2.84,9,9720.38,STEM,1978,122,1
2.53,93,9742.71,STEM,1995,121,0
2.32,29,9786.51,STEM,1988,121,0
2.35,6,9765.87,STEM,2013,120,0
2.67,32,9728.01,STEM,1991,123,0
2.63,26,9741.13,STEM,1994,122,2
2.83,34,9705.57,STEM,1993,120,1
2.88,2,9718.02,STEM,1993,123,0
2.7,44,9748.5,STEM,1989,127,1
3.11,9,9679.64,STEM,1963,122,3
1.31,2,9853.74,STEM,1997,121,1
3.34,1,9682.34,STEM,2015,121,2
2.29,27,9768.19,STEM,2005,126,1
2.77,16,9737.75,STEM,1972,122,0
2.84,4,9723.65,STEM,1995,125,1
